videoId,missingTitleLanguages,missingDescriptionLanguages,studyQ1,studyQ2,studyQ3,studyQ4,studyQ5,studyQ6,studyQ7
2_harsh_vibe_explanation,5,5,19,19,19,N/A,N/A,N/A,N/A
9_CreationtoChrist0704,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2218,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1910,5,5,19,19,19,N/A,N/A,N/A,N/A
7_Origins3New0303,1,1,19,19,19,N/A,N/A,N/A,N/A
3_0-7DWJ-WWJ_05-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_09-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMatt2523,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero01-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_IAm-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6160-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_17-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_GOJ4923-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl77-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2603,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact_03,19,19,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4918-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5537,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10_Darkroom00Trailer2min,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-GodsRescuePlan,0,0,0,0,0,0,0,0,N/A
10_Darkroom07Bible,1,1,19,19,19,19,19,N/A,N/A
10_Darkroom13Supernatural,1,1,19,19,19,19,19,N/A,N/A
HalloweenCollection,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs09,0,0,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4903-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_SweetTooth,0,0,19,19,19,N/A,N/A,N/A,N/A
13_0-RPGospel0401,1,1,19,19,19,N/A,N/A,N/A,N/A
2_FileZero03-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl604413-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl604424-0-0,0,0,0,0,0,0,N/A,N/A,N/A
1_riv_07-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6106-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6109-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_KnowGod0401,5,5,19,19,19,N/A,N/A,N/A,N/A
7_KnowGod0403,5,5,19,19,19,N/A,N/A,N/A,N/A
1_jf6132-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMark1504,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOMarkCollection,19,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_StoryBehindSweetTooth,0,0,19,19,19,N/A,N/A,N/A,N/A
3_0-6DWJ-MAP,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Brothers,0,0,0,0,0,0,N/A,N/A,N/A
1_riv_09-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6129-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_0-MostlyTea,0,0,19,19,19,N/A,N/A,N/A,N/A
1_wl604410-0-0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
PicketFence,0,0,19,19,19,19,N/A,N/A,N/A
3_0-40DWJ_03-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_DWJPrayer0906-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-LeaderImpact_09,19,19,19,19,19,N/A,N/A,N/A,N/A
2_0-LeaderImpact_16,19,19,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4936-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-Crushing,0,0,19,19,19,N/A,N/A,N/A,N/A
1_jf6133-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_KnowGod0402,5,5,19,19,19,N/A,N/A,N/A,N/A
1_jf6115-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
8_NBC03,0,0,19,19,19,19,N/A,N/A,N/A
2_GOJ4911-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
4_Win5Preview9x16,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl75-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_29-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7323-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-IsBibleReliable,0,0,19,19,19,N/A,N/A,N/A,N/A
7_0-nfs0403,0,0,19,19,19,N/A,N/A,N/A,N/A
2_WhyMadeAltroMare,0,0,19,19,19,N/A,N/A,N/A,N/A
9_0-TheSavior5523,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs0803,0,0,19,19,N/A,N/A,N/A,N/A,N/A
2_Acts7350-0-0,0,0,0,0,0,0,N/A,N/A,N/A
3_0-8DWJ-WIJ_05-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
4_Injury3AudienceOfOne,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-StoryBehindPicketFence,0,0,19,19,19,N/A,N/A,N/A,N/A
6_GOJohn2206,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_riv_08-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2626,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_02-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_GOJ4909-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
6_GOLuke2613,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs01,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-40DWJ_26-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMatt2522,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Win5Preview1x1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact_05,19,19,19,19,19,N/A,N/A,N/A,N/A
2_0-LeaderImpact_15,19,19,19,19,19,N/A,N/A,N/A,N/A
GOLukeCollection,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMatt2502,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl76-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
Wonder,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7322-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOMatt2506,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLuke2620,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMatt2505,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_GOJ4938-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_0-nur04,0,0,19,19,19,N/A,N/A,N/A,N/A
7_Light0411,1,0,19,19,19,N/A,N/A,N/A,N/A
2_WhoIsMessiah,0,0,19,19,19,N/A,N/A,N/A,N/A
7_Light0911,1,0,19,19,N/A,N/A,N/A,N/A,N/A
11_Sermon0510,1,1,19,19,19,N/A,N/A,N/A,N/A
1_wl604415-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
12_Washi0105,1,1,19,19,19,N/A,N/A,N/A,N/A
4_Injury1Injury,0,0,19,19,19,N/A,N/A,N/A,N/A
3_0-40DWJ_30-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_IAm1204-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_08-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_0-nfs0603,0,0,19,19,N/A,N/A,N/A,N/A,N/A
3_IAm1209-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheSavior5551,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7328-0-0,0,0,0,0,0,0,0,N/A,N/A
11_Sermon1010,1,1,19,19,19,N/A,N/A,N/A,N/A
4_AIAWC-ThePrize_RVR-0-0,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5520,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wjv_01-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7359-0-0,0,0,0,0,0,0,N/A,N/A,N/A
10_Darkroom04Science,1,1,19,19,19,19,19,N/A,N/A
2_ElCamWaySJEN5Pain,1,1,19,19,19,N/A,N/A,N/A,N/A
1_jf6146-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMark1505,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLuke2605,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_fj_4-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wjv_03-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-BornToPlay,0,0,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4924-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7306-0-0,0,0,0,0,0,0,0,N/A,N/A
2_ElCamWaySJEN6Weight,1,1,19,19,19,N/A,N/A,N/A,N/A
2_ElCamWaySJEN8Invitation,1,1,19,19,19,N/A,N/A,N/A,N/A
6_GOMark1513,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs0303,0,0,19,19,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact_18,19,19,19,19,19,N/A,N/A,N/A,N/A
11_Sermon0610,1,1,19,19,19,N/A,N/A,N/A,N/A
2_0-TruePurposeLife,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6111-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6141-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6145-0-0,0,0,0,0,0,0,N/A,N/A,N/A
1_jf6147-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
13_0-RPGospel0402,1,1,19,19,19,N/A,N/A,N/A,N/A
13_0-RPGospel0403,1,1,19,19,19,N/A,N/A,N/A,N/A
11_Sermon0310,1,1,19,19,19,N/A,N/A,N/A,N/A
3_0-6DWJ-MAP_06-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_GOJ4928-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_Acts7308-0-0,0,0,0,0,0,0,0,N/A,N/A
6_GOLuke2607,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10_Darkroom10Justice,1,1,19,19,19,19,N/A,N/A,N/A
2_Acts7365-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheSavior5533,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Jatku-Leiba,0,0,0,0,0,0,N/A,N/A,N/A
1_wjv-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7325-0-0,0,0,0,0,0,0,N/A,N/A,N/A
3_0-7DWJ-WWJ_07-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_GOJ4905-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_JessicaStory,0,0,19,19,19,N/A,N/A,N/A,N/A
3_RFD0705-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl604432-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_ThereIsHopeAsia,0,0,19,19,19,19,N/A,N/A,N/A
6_GOMatt2508,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero07-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
11_Shema0206,1,1,19,19,19,N/A,N/A,N/A,N/A
10_Darkroom03Sin,1,1,19,19,19,19,19,19,N/A
6_GOMatt2510,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Light0311,1,0,19,19,19,N/A,N/A,N/A,N/A
2_ElCamWaySJEN2Parched,1,1,19,19,19,N/A,N/A,N/A,N/A
2_0-Marea,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-The_Story,0,0,0,0,0,0,N/A,N/A,N/A
8_NBC08,0,0,19,19,19,19,N/A,N/A,N/A
1_wl604418-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
JFP-Interests-Sports,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_Shema0106,1,1,19,19,19,N/A,N/A,N/A,N/A
2_FileZero08-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7339-0-0,0,0,0,0,0,0,0,N/A,N/A
6_GOLuke2614,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_FileZero11-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOLuke2615,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_Shema0606,1,1,19,19,19,N/A,N/A,N/A,N/A
0_JesusVisionLumo,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_cl1306-0-0,0,0,0,0,0,0,0,N/A,N/A
2_BoA_BibleStudy1205-0-0,19,19,19,19,19,N/A,N/A,N/A,N/A
7_Light0811,1,0,19,19,N/A,N/A,N/A,N/A,N/A
8_NBC02,0,0,19,19,19,N/A,N/A,N/A,N/A
8_NBC09,0,0,19,19,19,19,N/A,N/A,N/A
8_NBC01,0,0,19,19,19,19,N/A,N/A,N/A
Perfect,0,0,19,19,19,N/A,N/A,N/A,N/A
6_GOMattEnglish5150,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Win3GodPath,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-JesusBackFromDead,0,0,19,19,19,N/A,N/A,N/A,N/A
6_GOLuke2601,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-RealityVR,1,1,19,19,19,N/A,N/A,N/A,N/A
6_GOMatt2516,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2221,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_Advent,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604420-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
6_GOMark1502,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nua,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DT1,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_GOJ4931-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
LOJS,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Medley,0,0,19,19,19,N/A,N/A,N/A,N/A
1_0-TrainV_5Ministry,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Jangled,0,0,0,0,0,N/A,N/A,N/A,N/A
1_0-TrainV_1Install,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_0-TrainV_3Share,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_0-TrainV_4Download,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604408-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
8_NBC05,0,0,19,19,19,19,N/A,N/A,N/A
EASTER1,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-6DWJ-MAP_04-0-0,0,0,0,0,0,0,0,N/A,N/A
1_wjv_02-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
3_0-40DWJ_39-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_0-Invisible,0,0,0,0,0,0,0,N/A,N/A
2_0-Blue,0,0,19,19,19,N/A,N/A,N/A,N/A
1_wl604438-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
11_ReadBible1905,5,5,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4935-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl604422-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
HopeCollection,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_cl1305-0-0,0,0,0,0,0,0,0,0,N/A
GOMattCollection,19,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604419-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_riv_03-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6120-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
0_JesusVisionJFP,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Yol,0,0,0,0,0,N/A,N/A,N/A,N/A
10_Darkroom12Mission,1,1,19,19,19,19,N/A,N/A,N/A
1_riv_05-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl604414-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
9_0-TheSavior5516,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Dying-Roads,0,0,0,0,0,0,0,N/A,N/A
11_ReadBible1909,5,5,19,19,19,N/A,N/A,N/A,N/A
1_jf6105-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
0_mike_0,19,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1915,5,5,19,19,19,N/A,N/A,N/A,N/A
11_ReadBible1916,5,5,19,19,19,N/A,N/A,N/A,N/A
tanner_test,20,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1908,5,5,19,19,19,N/A,N/A,N/A,N/A
3_0-8DWJ-WIJ_06-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5521,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_riv_12-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7309-0-0,0,0,0,0,0,0,0,N/A,N/A
2_0-Puzzler,0,0,19,19,19,N/A,N/A,N/A,N/A
3_IAm1206-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOMatt2517,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_OscarStory,0,0,19,19,19,N/A,N/A,N/A,N/A
1_wl604435-0-0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A
1_riv-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11_ReadBible1911,5,5,19,19,19,N/A,N/A,N/A,N/A
1_jf6154-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6142-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_jf6148-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-Doll-Face,0,0,0,0,0,0,N/A,N/A,N/A
4_Win4GoodNewsJesusAD1x1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Pennyhouse,0,0,0,0,0,0,0,N/A,N/A
2_0-PerfectAlternate,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-UltimateSacrifice,0,0,19,19,19,N/A,N/A,N/A,N/A
6_GOLuke2624,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact,19,19,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3_0-8DWJ-WIJ,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs07,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_Acts7334-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-ADream,0,0,19,19,19,19,N/A,N/A,N/A
9_0-TheSavior5542,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-ncs02,0,0,19,19,19,N/A,N/A,N/A,N/A
3_0-40DWJ_32-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
7_0-nfs0401,0,0,19,19,19,N/A,N/A,N/A,N/A
1_mld11-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins3New0103,1,1,19,19,19,N/A,N/A,N/A,N/A
2_Acts7344-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7320-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7346-0-0,0,0,0,0,0,0,N/A,N/A,N/A
9_0-TheSavior5527,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5531,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLuke2612,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-YoureNotHopeless,0,0,0,0,0,0,N/A,N/A,N/A
2_Acts7341-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_0-ncs,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Loss4HopeInJesusAD1x1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-UseThisApp03,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-Coffee-Shop,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7333-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_Origins5Story0103,1,1,19,19,19,N/A,N/A,N/A,N/A
6_GOMark1511,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nfs0701,0,0,19,19,N/A,N/A,N/A,N/A,N/A
2_0-LeaderImpact_07,19,19,19,19,19,N/A,N/A,N/A,N/A
2_0-Flow,0,0,0,0,0,0,N/A,N/A,N/A
11_Sermon0810,1,1,19,19,19,N/A,N/A,N/A,N/A
2_Acts7301-0-0,0,0,0,0,0,0,N/A,N/A,N/A
4_Win,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_0-nur05,0,0,19,19,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5543,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_jf6137-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Acts7363-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_0-nur08,0,0,19,19,N/A,N/A,N/A,N/A,N/A
7_Origins2Worth0203,1,1,19,19,19,N/A,N/A,N/A,N/A
7_0-nfs10,0,0,19,19,19,19,19,19,19
9_0-TheSavior5505,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOJohn2220,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604401-0-0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_Win5Preview,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOMatt2507,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4_AIAWC-ThePrize_RTF-0-0,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins2Worth0103,1,1,19,19,19,N/A,N/A,N/A,N/A
3_IAm1208-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_0-nfs0201,0,0,19,19,19,N/A,N/A,N/A,N/A
2_Acts7342-0-0,0,0,0,0,0,0,N/A,N/A,N/A
7_0-nfs06,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5554,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604402-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_Acts7312-0-0,0,0,0,0,0,0,0,N/A,N/A
2_0-Restored,0,0,19,19,19,N/A,N/A,N/A,N/A
2_0-Rain,0,0,0,0,0,0,N/A,N/A,N/A
3_0-40DWJ_38-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-AndreasStory,0,0,0,0,0,N/A,N/A,N/A,N/A
2_Broken2Promise,1,1,19,19,19,N/A,N/A,N/A,N/A
LUMOCollection,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-JesusReally,0,0,19,19,19,19,N/A,N/A,N/A
6_GOMatt2513,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6_GOLuke2619,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_0-WhereYouBelong,0,0,19,19,19,N/A,N/A,N/A,N/A
6_GOMatt2509,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JFP-Interests-Family,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8_NBC,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_KnowGod,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1_wl604437-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
1_wl71-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
1_wl604433-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_0-Demoniac,0,0,0,0,0,0,N/A,N/A,N/A
7_0-nfs0801,0,0,19,19,N/A,N/A,N/A,N/A,N/A
7_Origins5Story0203,1,1,19,19,19,N/A,N/A,N/A,N/A
2_GOJ4901-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_GOJ4915-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2_Acts-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
1_jf6118-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
12_Washi0505,1,1,19,19,19,N/A,N/A,N/A,N/A
11_Sermon0710,0,1,19,19,19,N/A,N/A,N/A,N/A
1_jf6122-0-0,0,0,0,0,0,N/A,N/A,N/A,N/A
2_0-LeaderImpact_11,19,19,19,19,19,N/A,N/A,N/A,N/A
7_0-nfs0302,0,0,19,19,19,N/A,N/A,N/A,N/A
2_Acts7336-0-0,0,0,0,0,0,0,N/A,N/A,N/A
6_GOJohn2207,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2_GOJ4904-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
9_0-TheSavior5540,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7_Origins5Story0303,1,1,19,19,19,N/A,N/A,N/A,N/A
2_Acts7307-0-0,0,0,0,0,0,0,N/A,N/A,N/A
2_0-To-Be-Like-You,0,0,0,0,0,0,0,0,N/A
2_Acts7302-0-0,0,0,0,0,0,0,0,N/A,N/A
2_GOJ4906-0-0,0,0,0,0,N/A,N/A,N/A,N/A,N/A
4_Loss4HopeInJesus,0,0,19,19,19,N/A,N/A,N/A,N/A
7_Origins6Guide,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
