Film Name,Language ID,Language Name,Language BCP47,CSV Versions,Production Versions,"Missing Versions (in CSV, not in prod)",ReEncodeStarted
JESUS Film,141031,Ile Ape,ila,35212,1,35212,
JESUS Film,142172,Tanjijili,uji,40290,1,40290,
JESUS Film,142179,Ukue,uku,40515,1,40515,
JESUS Film,143368,Zapoteco De San Juan Comaltepec,zpc,35208,1,35208,
JESUS Film,19372,"Cham, Eastern",cjm,"228, 39678",228,39678,Y
JESUS Film,19685,Gadsup,gaj,33357,40124,33357,
JESUS Film,20750,Kru,klu,34651,1,34651,
JESUS Film,20777,Lambadi,lmn,35300,1,35300,
JESUS Film,21211,Hui,czh,29773,35430,29773,Y
JESUS Film,24018,"Fang, Equatorial Guinea",fan,34961,1,34961,
JESUS Film,7138,Jordanian Sign Language,jos,577,1,577,Y
JESUS Film,7564,Vai,vai,34653,1,34653,
Magdalena,139080,Lebanese Sign Language,jos,31918,1,31918,Y
Walking with Jesus Africa,9728,Ika,ikk,35115,1,35115,